Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C14, C16, C19, C2, C20, C21, C6",0603,8,100n,
"C10, C11",0603,2,47pF,
"C12, C23, C7",0603,3,100nF,
"C13, C18",0603,2,10u,
"C15, C17",0805,2,10u,
"C22, C8",0805,2,4u7,
"C4, C5",0603,2,X,
C9,0603,1,10nF,
D1,0603,1,gn,C19171301
D2,SOT-143,1,PRTR5V0U2X, C12333
"D3, RX, TX",0603,3,ye,C965802
D4,D_SMB,1,SS34B,C13762
DCOK,0603,1,gn,
FB2,0805,1,"40E@100MHz,5A",
FB3,0603,1,40E@100MHz,C285651
J1,PinHeader_1x02_P2.54mm_Vertical,1,Conn_01x02_Pin,
J2,PinHeader_1x06_P2.54mm_Vertical,1,Conn_01x06,
J4,PinHeader_2x05_P1.00mm_Vertical_SMD,1,Conn_02x20_Odd_Even_MountingPin,
J5,PinSocket_1x04_P1.00mm_Vertical,1,Conn_01x04,
J6,PinSocket_1x03_P1.00mm_Vertical,1,Conn_01x03,
JP2,SolderJumper-2_P1.3mm_Bridged_RoundedPad1.0x1.5mm,1,SolderJumper_2_Open,
L1,L_Coilcraft_LPS3010,1,10u/1A,C280522
MK1,724-3138 microphone RS Components,1,724-3138,
P2,GCT_USB4730-GF-A_REVA,1,USB_C_Plug_USB2.0_IP67,
Q1,SOT-23-6,1,FS8205A,C2830320
"R1, R15, R2, R3",0603,4,4k7,
"R10, R12, R22",0603,3,180R,
"R11, R9",0603,2,5k1,
"R13, R14",0603,2,27R,
R16,0603,1,2k5,
R17,0805,1,2k5,
"R18, R25",0603,2,1k,
R19,0603,1,75k,
R20,0603,1,10k,
R21,0603,1,480R,
R23,0603,1,15k,
"R24, R26",0603,2,100k,
"R4, R5, R6, R7",0603,4,0R,
R8,0603,1,480R,C19171301
S2,SS12D07VG4NSGAPA,1,SS12D07VG4NSGAPA,C2939726
SW1,SW_K2-1112SW-A4SW-04_HRO,1,SW_MEC_5G,C381039
SW2,SW_Taster_C381039,1,SW_MEC_5G,C381039
U1,SSOP-16_3.9x4.9mm_P0.635mm,1,FT230XS,C69082
U2,TQFP32_32A_MCH,1,ATMEGA328P-AU,C14877
U3,SOIC-8-1EP_3.9x4.9mm_P1.27mm_EP2.41x3.3mm_ThermalVias,1,TP4056-42-ESOP8,C725790
U4,SOT-23-6,1,DW01A,C2927799
U5,SOT-23-6,1,MT3608,C84817
U6,TSSOP-14_4.4x5mm_P0.65mm,1,LM324B,C5214225
Y1,Crystal_SMD_Abracon_ABM8AIG-4Pin_3.2x2.5mm,1,Crystal,C13738
